snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021kre,18.9832,0.07692,g-ZTF,FINISHED,spec ia,NO,6,206.2201375,-7.1171167,,,0.07692,99,613,ZTF,,,,Elliptical,WISEA J134452.28-070706.0,2021-04-30 5:06:45,2021-05-05,?,,,,,
2021kxf,20.1151,,g-ZTF,FINISHED,spec ia,NO,58,204.4481125,1.3292694,,,0.07897077,99,611,ZTF,,,,Spiral?,SDSS J133747.76+011946.8,2021-05-02 6:34:38,2021-05-05,?,,,,,
2021kbj,20.63,0.13,r-Sloan,FINISHED,spec ia,NO,,238.5924249,24.4904165,,,-,99,611,Pan-STARRS1,,632.A,,Elliptical,-,2021-05-02,2021-05-02,YSE,,,,,
2021log,20.0874,0.14,g-ZTF,FINISHED,spec ia,NO,,229.8669292,13.8495111,,,0.141978,99,608,ZTF,,531.D,,Elliptical,WISEA J151928.06+135058.1,2021-05-05 8:58:36,2021-05-05,?,,,,,
2021lnf,18.34,0.038934,r-ZTF,FINISHED,spec ia,YES,37,144.5076958,-16.8587639,,,-,99,609,ZTF,,365.A,,Elliptical i guess,-,2021-05-04 3:59:02,2021-05-08,ZTF,,,,,
2021lat,19.07,0.0338979997,r-ZTF,FINISHED,spec ia,NO,5,220.224125,24.9716583,,,-,99,609,ZTF,,629.A.2021lat,,Elliptical,-,2021-05-04 9:26:39,2021-05-08,ZTF,,,,,
2021low,19.86,0.021958,r-ZTF,FINISHED,spec ia,NO,54,176.1927667,20.1262,,,-,99,607,ZTF,,575.B.a,,Spiral,-,2021-05-06 5:35:31,2021-05-05,Global SN Project,,,,,
2021ltk,,0.013643,,ABANDON,II,NO,14,211.4078958,-39.2007056,,,-,99,592,None,,181.A.2021ltk,,?,-,2021-05-21 0:00:00,2021-05-11,UCSC,,,,,
2021lxb,21.46,0.0259,g-Sloan,FINISHED,spec ia,NO,28,195.4943601,28.00854142,,,-,99,604,Pan-STARRS1,,577.A.21inl_21lxb,,Elliptical,-,2021-05-09 6:33:07,2021-05-11,UCSC,,,,,
2021yrz,20.77,0.068,g-ZTF,FINISHED,spec ia,NO,22,338.9579292,20.0756167,,,-,99,480,ZTF,,-,,Elliptical?,-,2021-09-10 5:11:02,2021-09-16,ZTF,,,,,
2021yzz,19.29,0.0533,g-ZTF,FINISHED,spec ia,NO,53,331.1591875,-20.2386222,,,-,99,477,ZTF,,-,,Elliptical,-,2021-09-13 8:41:14,2021-09-16,none,,,,,
